original_ent,original_entLabel,original_coord,original_categoryLabels,original_P1566,original_streetAddress,original_description,original_latitudine,original_longitudine,distance,formatted,lat,lon,housenumber,name,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
http://www.wikidata.org/entity/Q23354,Castello Sforzesco,"(9.179693, 45.471005)",castello,3166568.0,piazzale Castello,castello di Milano,45.471005,9.179693,76.76840788976442,"Piazza del Cannone, 3, 20123 Milano MI, Italia",45.47092,9.178716,3,,Piazza del Cannone,Comune di Milano,20123,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q23354,Castello Sforzesco,"(9.179693, 45.471005)",castello,3166568.0,Piazza Castello,castello di Milano,45.471005,9.179693,76.76840788976442,"Piazza del Cannone, 3, 20123 Milano MI, Italia",45.47092,9.178716,3,,Piazza del Cannone,Comune di Milano,20123,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q18068,Duomo di Milano,"(9.190578, 45.463968)","destinazione turistica, chiesa, duomo, cattedrale cattolica, attrazione turistica, complesso di edifici",6694825.0,"Piazza del Duomo, 20122 Milano (MI), Italia",cattedrale di Milano,45.463968,9.190578,4.3428685346737375,"Duomo di Milano, 1_33051, 20122 Milano MI, Italia",45.46416835,9.191621109614111,,Duomo di Milano,1_33051,,20122,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q18068,Duomo di Milano,"(9.190578, 45.463968)","destinazione turistica, chiesa, duomo, cattedrale cattolica, attrazione turistica, complesso di edifici",6694825.0,Piazza Duomo,cattedrale di Milano,45.463968,9.190578,4.3428685346737375,"Duomo di Milano, 1_33051, 20122 Milano MI, Italia",45.46416835,9.191621109614111,,Duomo di Milano,1_33051,,20122,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.163138888, 45.468055555)","edificio, casa",,Via Ozanam 4,edificio liberty di Milano,45.468055555,9.163138888,2.267780863157151,"Via Guido d'Arezzo, 5, 20145 Milano MI, Italia",45.4680579,9.16311,5,,Via Guido d'Arezzo,Municipio 8 di Milano,20145,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.211958, 45.480138)","edificio, casa",,Via Ozanam 4,edificio liberty di Milano,45.480138,9.211958,12.308528892548711,"Via Federico Ozanam, 4, 20129 Milano MI, Italia",45.4802477,9.2119369,4,,Via Federico Ozanam,,20129,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.163138888, 45.468055555)","edificio, casa",,"Via Guido d'Arezzo, 5",edificio liberty di Milano,45.468055555,9.163138888,2.267780863157151,"Via Guido d'Arezzo, 5, 20145 Milano MI, Italia",45.4680579,9.16311,5,,Via Guido d'Arezzo,Municipio 8 di Milano,20145,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.211958, 45.480138)","edificio, casa",,"Via Guido d'Arezzo, 5",edificio liberty di Milano,45.480138,9.211958,12.308528892548711,"Via Federico Ozanam, 4, 20129 Milano MI, Italia",45.4802477,9.2119369,4,,Via Federico Ozanam,,20129,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.163138888, 45.468055555)","edificio, casa",,"Via Antonio Scarpa, 17",edificio liberty di Milano,45.468055555,9.163138888,2.267780863157151,"Via Guido d'Arezzo, 5, 20145 Milano MI, Italia",45.4680579,9.16311,5,,Via Guido d'Arezzo,Municipio 8 di Milano,20145,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99484627,Casa Frisia,"(9.211958, 45.480138)","edificio, casa",,"Via Antonio Scarpa, 17",edificio liberty di Milano,45.480138,9.211958,12.308528892548711,"Via Federico Ozanam, 4, 20129 Milano MI, Italia",45.4802477,9.2119369,4,,Via Federico Ozanam,,20129,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
