original_ID_ENTITA,original_id_dataset_originale,original_nome_dataset,original_last_update,original_municipio,original_indirizzo,original_civico,original_codice_albero,original_data_origine,original_genere_albero,original_specie_albero,original_varieta_albero,original_diam_tronc_albero,original_diam_chiom_albero,original_h_m_albero,original_longitudine,original_latitudine,original_Location,original_categoria,original_Funzionante_antenna,original_Città,original_CAP,original_NIL,original_TARGA_bottega,original_ANNO_ISTITUZIONE_bottega,original_attivita_storica,original_ent_WDPOI,original_P1566_WDPOI,original_codice_panchina,original_descrizione_codice_panchina,original_codice_tavolo,original_descrizione_codice_tavolo,original_Fonte_NIL,original_Shape_Length,original_Shape_Area,original_entLabel_WDPOI,original_wikidata_POI,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
131724,622.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.183005687537886,45.47140959987305,"(45.47140959987305, 9.183005687537886)",fontana,,,20121.0,BRERA,,,,,,,,,,,,,,,20.561002828561445,"Foro Buonaparte, 54, 20121 Milano MI, Italia",45.471249,9.182875,,54,Foro Buonaparte,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
131820,2623.0,Wikidata,2024-07-31,,nan,1,,,,,,,,,9.219321,45.471444,"(9.219321, 45.471444)",comando militare,,MILANO,20129.0,,,,,http://www.wikidata.org/entity/Q16543109,,,,,,,,,Comando 1ª regione aerea,Si,6.923850428421581,"Piazza Ermete Novelli, 1, 20129 Milano MI, Italia",45.4713873,9.2192843,,1,Piazza Ermete Novelli,20129,,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
131978,2703.0,Wikidata,2024-07-31,,nan,12,,,,,,,,,9.15715,45.47149,"(9.15715, 45.47149)",strada urbana,,MILANO,20145.0,,,,,http://www.wikidata.org/entity/Q127947287,,,,,,,,,,Si,1.4939269787831395,"Via Tiziano, 12, 20145 Milano MI, Italia",45.471501,9.157161,,12,Via Tiziano,20145,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
132548,2638.0,Wikidata,2024-07-31,,nan,28,,,,,,,,,9.19611,45.4717,"(9.19611, 45.4717)",palazzo italiano,,MILANO,20121.0,,,,,http://www.wikidata.org/entity/Q16537481,,,,,,,,,Casa Tosi,Si,5.518513137171988,"Via Senato, 28, 20121 Milano MI, Italia",45.4716746,9.1960492,,28,Via Senato,20121,,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
132564,2725.0,Wikidata,2024-07-31,,nan,3,,,,,,,,,9.185946148,45.471703405,"(9.185946148, 45.471703405)",strada,,MILANO,20121.0,,,,,http://www.wikidata.org/entity/Q126036713,,,,,,,,,via Marco Formentini,Si,5.384334858106041,"Via Marco Formentini, 3, 20121 Milano MI, Italia",45.471655,9.185948,,3,Via Marco Formentini,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
132782,1548.0,Wikidata,2024-07-31,,nan,,,,,,,,,,9.182302,45.471792,"(9.182302, 45.471792)",porta cittadina,,MILANO,20121.0,,,,,http://www.wikidata.org/entity/Q3879508,,,,,,,,,Pusterla delle Azze,Si,1.027733085889052,"Lanza, 20121 Milano MI, Italia",45.471801,9.182305,Lanza,,,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133045,2875.0,Wikidata,2024-07-31,,nan,27,,,,,,,,,9.227472,45.471889,"(9.227472, 45.471889)",chiesa,,MILANO,20133.0,,,,,http://www.wikidata.org/entity/Q119075316,,,,,,,,,chiesa di Dio Padre,Si,9.274806897039776,"Via Cesare Saldini, 27, 20133 Milano MI, Italia",45.471941,9.227379,,27,Via Cesare Saldini,20133,Comune di Milano,Lambrate,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
133467,159.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,7.0,nan,,,,,,,,,,9.13723294056624,45.47204105647037,"(45.47204105647037, 9.13723294056624)",fontana,,,20148.0,SAN SIRO,,,,,,,,,,,,,,,32.23751670559442,"Piazzale Selinunte, 3, 20148 Milano MI, Italia",45.472027,9.13682,,3,Piazzale Selinunte,20148,Comune di Milano,Musocco,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
133487,42.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.192090330956216,45.472046336858895,"(45.472046336858895, 9.192090330956216)",fontana,,,20121.0,BRERA,,,,,,,,,,,,,,,2.0814841185839343,"Giardini Perego, 20121 Milano MI, Italia",45.4720518,9.19206479927805,Giardini Perego,,,20121,,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133695,531.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.175833460143926,45.4721191352121,"(45.4721191352121, 9.175833460143926)",fontana,,,20121.0,PARCO SEMPIONE,,,,,,,,,,,,,,,134.51245903069105,"Caffè in giardino, Viale Emilio Alemagna, 6, 20121 Milano MI, Italia",45.4726161,9.1742607,Caffè in giardino,6,Viale Emilio Alemagna,20121,Comune di Milano,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
