source,license,license_url,notes
Comune di Milano Open Data,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,Comune di Milano open-data portal states that site contents are CC BY 4.0 unless otherwise specified.
Wikidata,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,Used for semantic-place candidates and identity links.
